t,msssimc_ref,psnr_ref,msssimc_last,psnr_last,meanY
13.00,0.3298,11.75,0.4570,13.42,89.6
13.10,0.3298,11.75,0.4570,13.42,89.6
13.20,0.3298,11.75,0.4570,13.42,89.6
13.30,0.3298,11.75,0.4570,13.42,89.6
13.40,0.3298,11.75,0.4570,13.42,89.6
13.50,0.3298,11.75,0.4570,13.42,89.6
13.60,0.3298,11.75,0.4570,13.42,89.6
13.70,0.3298,11.75,0.4570,13.42,89.6
13.80,0.3298,11.75,0.4570,13.42,89.6
13.90,0.3298,11.75,0.4570,13.42,89.6
14.00,0.3298,11.75,0.4570,13.42,89.6
14.10,0.2076,5.88,0.3206,13.01,0.6
14.20,0.2076,5.88,0.3206,13.01,0.6
14.30,0.3299,11.75,0.4570,13.42,89.6
14.40,0.3299,11.75,0.4570,13.42,89.6
14.50,0.3299,11.75,0.4570,13.42,89.6
14.60,0.6786,14.95,0.3349,12.46,88.0
14.70,0.6784,14.94,0.3346,12.46,88.0
14.80,0.6783,14.94,0.3346,12.46,88.0
14.90,0.7051,14.98,0.3165,12.58,86.8
15.00,0.7050,14.98,0.3166,12.58,86.8
15.10,0.7364,15.08,0.3289,12.65,85.8
15.20,0.7365,15.08,0.3285,12.65,85.8
15.30,0.7365,15.08,0.3285,12.65,85.8
15.40,0.7434,15.09,0.3400,12.67,85.2
15.50,0.7435,15.09,0.3402,12.67,85.2
15.60,0.7435,15.09,0.3400,12.67,85.2
15.70,0.7773,15.37,0.3476,12.54,85.8
15.80,0.7772,15.36,0.3476,12.54,85.8
15.90,0.7901,15.42,0.3513,12.56,85.7
16.00,0.7902,15.42,0.3515,12.57,85.7
16.10,0.7904,15.42,0.3515,12.57,85.7
16.20,0.7903,15.42,0.3515,12.57,85.7
16.30,0.7904,15.42,0.3515,12.57,85.7
16.40,0.7904,15.42,0.3515,12.57,85.7
16.50,0.8079,15.49,0.3403,12.52,85.7
16.60,0.8079,15.49,0.3403,12.52,85.7
16.70,0.8177,15.57,0.3337,12.48,85.7
16.80,0.8177,15.57,0.3333,12.48,85.7
16.90,0.8177,15.57,0.3333,12.48,85.7
17.00,0.8185,15.57,0.3328,12.48,85.7
17.10,0.8185,15.57,0.3328,12.48,85.7
17.20,0.8253,15.52,0.3330,12.52,85.1
17.30,0.8256,15.52,0.3330,12.52,85.1
17.40,0.8256,15.52,0.3330,12.52,85.1
17.50,0.8314,15.56,0.3312,12.50,85.2
17.60,0.8315,15.56,0.3311,12.50,85.2
17.70,0.8315,15.56,0.3312,12.50,85.2
17.80,0.8377,15.56,0.3338,12.51,84.9
17.90,0.8376,15.56,0.3338,12.51,84.9
18.00,0.8378,15.56,0.3338,12.51,84.9
18.10,0.8426,15.55,0.3334,12.51,84.8
18.20,0.8426,15.55,0.3333,12.51,84.7
18.30,0.8459,15.60,0.3369,12.50,85.0
18.40,0.8460,15.60,0.3369,12.50,85.0
18.50,0.8461,15.60,0.3369,12.50,85.0
18.60,0.8488,15.63,0.3353,12.48,85.1
18.70,0.8487,15.63,0.3354,12.48,85.1
18.80,0.8487,15.63,0.3355,12.48,85.1
18.90,0.8525,15.64,0.3335,12.48,85.1
19.00,0.8525,15.64,0.3335,12.48,85.1
19.10,0.8582,15.70,0.3293,12.45,85.1
19.20,0.8582,15.70,0.3292,12.45,85.1
19.30,0.8583,15.70,0.3292,12.45,85.1
19.40,0.8602,15.71,0.3291,12.44,85.2
19.50,0.8601,15.71,0.3291,12.44,85.2
19.60,0.8601,15.71,0.3291,12.44,85.2
19.70,0.8636,15.71,0.3288,12.44,85.1
19.80,0.8636,15.71,0.3288,12.44,85.1
19.90,0.8636,15.71,0.3288,12.44,85.1
20.00,0.8636,15.71,0.3286,12.44,85.1
