seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
7000,0,40,150,1.92,86.41,1789623417299.9,0,forward,2
7001,0,40,150,152.02,226.45,1789623417450.0,0,forward,2
7002,0,40,150,301.91,370.39,1789623417599.9,0,forward,2
7003,0,40,150,451.91,521.96,1789623417749.9,0,forward,2
7004,0,40,150,601.91,671.79,1789623417899.9,0,forward,2
7005,0,40,150,751.91,822.26,1789623418049.9,0,forward,2
7006,0,40,150,902.10,977.24,1789623418200.1,0,forward,2
7007,0,40,150,1052.51,1119.87,1789623418350.5,0,forward,2
7008,0,40,150,1201.91,1283.38,1789623418499.9,0,forward,2
7009,0,40,150,1351.91,1421.79,1789623418649.9,0,forward,2
7010,0,40,150,1501.91,1575.24,1789623418799.9,0,forward,2
7011,0,40,150,1652.10,1719.17,1789623418950.1,0,forward,2
7012,0,40,150,1801.91,1871.98,1789623419099.9,0,forward,2
7013,0,40,150,1951.91,2020.06,1789623419249.9,0,forward,2
7014,0,40,150,2101.91,2178.65,1789623419399.9,0,forward,2
7015,0,40,150,2251.91,2324.82,1789623419549.9,0,forward,2
7016,0,40,150,2401.91,2469.08,1789623419699.9,0,forward,2
7017,0,40,150,2551.91,2626.01,1789623419849.9,0,forward,2
7018,0,40,150,2701.91,2774.33,1789623419999.9,0,forward,2
7019,0,40,150,2851.91,2920.25,1789623420149.9,0,forward,2
7020,0,40,150,3001.92,3071.60,1789623420299.9,0,forward,2
7021,0,40,150,3151.91,3226.51,1789623420449.9,0,forward,2
7022,0,40,150,3301.93,3369.78,1789623420599.9,0,forward,2
7023,0,40,150,3451.91,3522.45,1789623420749.9,0,forward,2
7024,0,40,150,3601.91,3675.22,1789623420899.9,0,forward,2
7025,0,40,150,3751.91,3819.18,1789623421049.9,0,forward,2
7026,0,40,150,3901.92,3969.37,1789623421199.9,0,forward,2
7027,0,40,150,4051.91,4124.62,1789623421349.9,0,forward,2
7028,0,40,150,4201.91,4274.71,1789623421499.9,0,forward,2
7029,0,40,150,4351.91,4421.00,1789623421649.9,0,forward,2
7030,0,40,150,4501.91,4574.45,1789623421799.9,0,forward,2
7031,0,40,150,4651.92,4722.79,1789623421949.9,0,forward,2
7032,0,40,150,4801.91,4875.14,1789623422099.9,0,forward,2
7033,0,40,150,4951.91,5021.61,1789623422249.9,0,forward,2
7034,0,40,150,5101.91,5172.91,1789623422399.9,0,forward,2
7035,0,40,150,5251.91,5321.59,1789623422549.9,0,forward,2
7036,0,40,150,5401.91,5471.66,1789623422699.9,0,forward,2
7037,0,40,150,5551.92,5619.90,1789623422849.9,0,forward,2
7038,0,40,150,5702.36,5771.47,1789623423000.4,0,forward,2
7039,0,40,150,5852.11,5921.14,1789623423150.1,0,forward,2
7040,0,40,150,6001.91,6071.47,1789623423299.9,0,forward,2
7041,0,40,150,6151.91,6218.69,1789623423449.9,0,forward,2
7042,0,40,150,6301.91,6376.14,1789623423599.9,0,forward,2
7043,0,40,150,6451.91,6520.76,1789623423749.9,0,forward,2
7044,0,40,150,6601.92,6671.51,1789623423899.9,0,forward,2
7045,0,40,150,6751.92,6819.49,1789623424049.9,0,forward,2
7046,0,40,150,6901.92,6972.52,1789623424199.9,0,forward,2
7047,0,40,150,7051.92,7122.82,1789623424349.9,0,forward,2
7048,0,40,150,7201.92,7270.34,1789623424499.9,0,forward,2
7049,0,40,150,7351.92,7421.34,1789623424649.9,0,forward,2
7050,0,40,150,7501.91,7570.16,1789623424799.9,0,forward,2
7051,0,40,150,7651.91,7724.96,1789623424949.9,0,forward,2
7052,0,40,150,7801.91,7872.20,1789623425099.9,0,forward,2
7053,0,40,150,7951.92,8022.27,1789623425249.9,0,forward,2
7054,0,40,150,8101.91,8171.46,1789623425399.9,0,forward,2
7055,0,40,150,8251.92,8322.85,1789623425549.9,0,forward,2
7056,0,40,150,8401.91,8469.41,1789623425699.9,0,forward,2
7057,0,40,150,8551.91,8625.39,1789623425849.9,0,forward,2
7058,0,40,150,8701.92,8771.11,1789623425999.9,0,forward,2
7059,0,40,150,8851.94,8921.91,1789623426149.9,0,forward,2
7060,0,40,150,9001.94,9072.71,1789623426299.9,0,forward,2
7061,0,40,150,9151.91,9222.08,1789623426449.9,0,forward,2
7062,0,40,150,9301.93,9374.82,1789623426599.9,0,forward,2
7063,0,40,150,9451.92,9522.74,1789623426749.9,0,forward,2
7064,0,40,150,9601.91,9670.68,1789623426899.9,0,forward,2
7065,0,40,150,9751.91,9820.99,1789623427049.9,0,forward,2
7066,0,40,150,9901.91,9972.97,1789623427199.9,0,forward,2
7067,0,40,150,10051.94,10122.61,1789623427349.9,0,forward,2
7068,0,40,150,10201.91,10273.53,1789623427499.9,0,forward,2
7069,0,40,150,10351.91,10423.64,1789623427649.9,0,forward,2
7070,0,40,150,10501.91,10572.00,1789623427799.9,0,forward,2
7071,0,40,150,10651.93,10724.67,1789623427949.9,0,forward,2
