frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
0,0.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197709,1
1,16.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197711,1
2,33.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197711,1
3,50.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197713,1
4,66.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197715,1
5,83.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197717,1
6,100.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197719,1
7,116.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197721,1
8,133.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197725,1
9,150.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197727,1
10,166.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197727,1
11,183.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197729,1
12,200.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197731,1
13,216.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197733,1
14,233.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197735,1
15,250.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197737,1
16,266.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197739,1
17,283.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197741,1
18,300.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197743,1
19,316.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197745,1
20,333.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197747,1
21,350.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197749,1
22,366.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197751,1
23,383.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197753,1
24,400.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197755,1
25,416.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197757,1
26,433.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197759,1
27,450.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197761,1
28,466.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197763,1
29,483.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197763,1
30,500.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197767,1
31,516.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197769,1
32,533.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197771,1
33,550.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197773,1
34,566.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197775,1
35,583.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197777,1
36,600.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197779,1
37,616.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197781,1
38,633.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197783,1
39,650.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197785,1
40,666.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197787,1
41,683.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197789,1
42,700.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197791,1
43,716.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197793,1
44,733.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197795,1
45,750.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197797,1
46,766.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197799,1
47,783.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197801,1
48,800.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197801,1
49,816.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197803,1
50,833.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197807,1
51,850.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197809,1
52,866.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197809,1
53,883.33,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197813,1
54,900.00,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197815,1
55,916.67,0,280,280,320,164,7413,0,40,1,1,1,0,0,0,197817,1
