frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
0,0.00,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161609,1
0,0.00,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,161997,1
1,16.67,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161611,1
1,16.67,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,161999,1
2,33.33,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161613,1
2,33.33,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,161999,1
3,50.00,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161615,1
3,50.00,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162003,1
4,66.67,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161617,1
4,66.67,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162005,1
5,83.33,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161619,1
5,83.33,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162007,1
6,100.00,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161621,1
6,100.00,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162009,1
7,116.67,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161623,1
7,116.67,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162011,1
8,133.33,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161625,1
8,133.33,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162013,1
9,150.00,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161627,1
9,150.00,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162015,1
10,166.67,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161629,1
10,166.67,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162017,1
11,183.33,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161631,1
11,183.33,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162019,1
12,200.00,0,280,280,320,164,2313,0,17,1,1,1,0,0,0,161633,1
12,200.00,1,1238,300,192,184,2313,0,17,1,1,0,1,0,0,162021,1
