frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
34,566.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68305,1
35,583.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67957,1
35,583.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68307,1
36,600.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67959,1
36,600.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68309,1
37,616.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67961,1
37,616.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68311,1
38,633.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67963,1
38,633.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68313,1
39,650.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67965,1
39,650.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68315,1
40,666.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67967,1
40,666.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68317,1
41,683.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67969,1
41,683.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68319,1
42,700.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67971,1
42,700.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68321,1
43,716.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67973,1
43,716.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68323,1
44,733.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67975,1
44,733.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68325,1
45,750.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67977,1
45,750.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68327,1
46,766.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67979,1
46,766.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68329,1
