# session 987812 k 512 groups 16 chunks 512 rate 30 passes 1 maxbytes 7000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.028,1.764,4,20504,0
1,33.334,34.355,4,20504,16
2,66.667,67.294,4,20504,32
3,100.023,100.530,4,20504,48
4,133.334,133.951,4,20504,64
5,166.667,167.010,4,20504,80
6,200.000,200.403,4,20504,96
7,233.333,233.830,4,20504,112
8,266.667,267.146,4,20504,128
9,300.000,300.584,4,20504,144
10,333.334,333.909,4,20504,160
11,366.672,367.127,4,20504,176
12,400.000,400.412,4,20504,192
13,433.334,433.712,4,20504,208
14,466.667,467.051,4,20504,224
15,500.000,500.300,4,20504,240
16,533.334,533.683,4,20504,256
17,566.667,566.995,4,20504,272
18,600.000,600.392,4,20504,288
19,633.334,633.670,4,20504,304
20,666.667,667.021,4,20504,320
21,700.000,700.448,4,20504,336
22,733.334,733.710,4,20504,352
23,766.667,766.971,4,20504,368
24,800.000,800.333,4,20504,384
25,833.334,833.660,4,20504,400
26,866.667,866.971,4,20504,416
27,900.000,900.314,4,20504,432
28,933.334,933.661,4,20504,448
29,966.667,967.084,4,20504,464
30,1000.000,1000.349,4,20504,480
31,1033.334,1033.666,4,20504,496
