# session 220879 k 512 groups 16 chunks 2048 rate 55 passes 1 maxbytes 4000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.002,1.852,6,20536,0
1,18.182,19.053,6,20536,16
2,36.364,36.922,6,20536,32
3,54.546,54.937,6,20536,48
4,72.727,73.135,6,20536,64
5,90.909,91.287,6,20536,80
6,109.091,109.465,6,20536,96
7,127.301,127.705,6,20536,112
8,145.455,145.830,6,20536,128
9,163.637,164.312,6,20536,144
10,181.818,182.293,6,20536,160
11,200.000,200.437,6,20536,176
12,218.182,218.481,6,20536,192
13,236.364,236.702,6,20536,208
14,254.546,254.902,6,20536,224
15,272.728,273.085,6,20536,240
16,290.909,291.269,6,20536,256
17,309.091,309.433,6,20536,272
18,327.273,327.579,6,20536,288
19,345.455,346.016,6,20536,304
20,363.637,363.991,6,20536,320
21,381.818,382.354,6,20536,336
22,400.017,400.484,6,20536,352
23,418.182,418.520,6,20536,368
24,436.364,436.650,6,20536,384
25,454.546,454.899,6,20536,400
26,472.728,473.131,6,20536,416
27,490.909,491.232,6,20536,432
28,509.091,509.422,6,20536,448
29,527.301,527.673,6,20536,464
30,545.455,545.837,6,20536,480
31,563.636,563.962,6,20536,496
32,581.818,582.096,6,20536,512
33,600.000,600.394,6,20536,528
34,618.183,618.631,6,20536,544
35,636.364,636.646,6,20536,560
36,654.546,654.922,6,20536,576
37,672.780,673.049,6,20536,592
38,690.909,691.480,6,20536,608
39,709.091,709.562,6,20536,624
40,727.273,727.552,6,20536,640
41,745.455,745.726,6,20536,656
42,763.636,764.327,6,20536,672
43,781.818,782.059,6,20536,688
44,800.000,800.222,6,20536,704
45,818.182,818.468,6,20536,720
46,836.364,836.641,6,20536,736
47,854.546,854.777,6,20536,752
48,872.728,872.941,6,20536,768
49,890.909,891.153,6,20536,784
50,909.091,909.547,6,20536,800
51,927.273,927.490,6,20536,816
52,945.455,945.681,6,20536,832
53,963.636,963.948,6,20536,848
54,981.818,982.041,6,20536,864
55,1000.000,1000.356,6,20536,880
56,1018.182,1018.600,6,20536,896
57,1036.364,1036.714,6,20536,912
58,1054.546,1054.791,6,20536,928
59,1072.727,1072.945,6,20536,944
60,1090.909,1091.123,6,20536,960
61,1109.091,1109.746,6,20536,976
62,1127.273,1127.530,6,20536,992
63,1145.455,1145.658,6,20536,1008
64,1163.637,1163.850,6,20536,1024
65,1181.818,1182.021,6,20536,1040
66,1200.000,1200.281,6,20536,1056
67,1218.182,1218.519,6,20536,1072
68,1236.364,1236.641,6,20536,1088
69,1254.546,1254.794,6,20536,1104
70,1272.727,1272.983,6,20536,1120
71,1290.909,1291.133,6,20536,1136
72,1309.091,1309.385,6,20536,1152
73,1327.273,1327.514,6,20536,1168
74,1345.455,1345.807,6,20536,1184
75,1363.637,1363.859,6,20536,1200
76,1381.818,1382.023,6,20536,1216
77,1400.109,1400.329,6,20536,1232
78,1418.182,1418.395,6,20536,1248
79,1436.364,1436.612,6,20536,1264
80,1454.546,1454.767,6,20536,1280
81,1472.728,1472.974,6,20536,1296
82,1490.959,1491.169,6,20536,1312
83,1509.091,1509.363,6,20536,1328
84,1527.273,1527.561,6,20536,1344
85,1545.455,1545.710,6,20536,1360
86,1563.637,1563.881,6,20536,1376
87,1581.818,1582.028,6,20536,1392
88,1600.000,1600.238,6,20536,1408
89,1618.182,1618.395,6,20536,1424
90,1636.364,1636.616,6,20536,1440
91,1654.546,1654.744,6,20536,1456
92,1672.727,1672.925,6,20536,1472
93,1690.909,1691.108,6,20536,1488
94,1709.091,1709.280,6,20536,1504
95,1727.273,1727.466,6,20536,1520
96,1745.455,1745.718,6,20536,1536
97,1763.637,1763.924,6,20536,1552
98,1781.818,1782.032,6,20536,1568
99,1800.000,1800.259,6,20536,1584
100,1818.182,1818.447,6,20536,1600
101,1836.364,1836.584,6,20536,1616
102,1854.546,1854.751,6,20536,1632
103,1872.728,1872.958,6,20536,1648
104,1890.909,1891.134,6,20536,1664
105,1909.091,1909.285,6,20536,1680
106,1927.273,1927.588,6,20536,1696
107,1945.455,1945.664,6,20536,1712
108,1963.637,1963.827,6,20536,1728
109,1981.818,1982.021,6,20536,1744
110,2000.000,2000.190,6,20536,1760
111,2018.182,2018.603,6,20536,1776
112,2036.364,2036.626,6,20536,1792
113,2054.546,2054.744,6,20536,1808
114,2072.727,2072.958,6,20536,1824
115,2090.909,2091.427,6,20536,1840
116,2109.091,2109.350,6,20536,1856
117,2127.273,2127.491,6,20536,1872
118,2145.455,2145.671,6,20536,1888
119,2163.637,2163.823,6,20536,1904
120,2181.818,2181.996,6,20536,1920
121,2200.000,2200.228,6,20536,1936
122,2218.182,2218.428,6,20536,1952
123,2236.364,2236.616,6,20536,1968
124,2254.546,2254.817,6,20536,1984
125,2272.728,2272.950,6,20536,2000
126,2290.909,2291.205,6,20536,2016
127,2309.167,2309.366,6,20536,2032
