# session 88383 k 2048 groups 64 chunks 2048 rate 10 passes 4 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,6.316,64,82904,0
1,100.093,103.769,64,82904,64
2,200.000,204.859,64,82904,128
3,300.000,302.774,64,82904,192
4,400.175,401.931,64,82904,256
5,500.000,502.623,64,82904,320
6,600.000,602.800,64,82904,384
7,700.000,702.571,64,82904,448
8,800.000,801.524,64,82904,512
9,900.000,901.801,64,82904,576
10,1000.001,1001.154,64,82904,640
11,1100.000,1101.393,64,82904,704
12,1200.000,1201.815,64,82904,768
13,1300.000,1301.795,64,82904,832
14,1400.000,1401.446,64,82904,896
15,1500.000,1501.082,64,82904,960
16,1600.000,1601.876,64,82904,1024
17,1700.000,1701.362,64,82904,1088
18,1800.000,1801.153,64,82904,1152
19,1900.000,1901.466,64,82904,1216
20,2000.000,2001.843,64,82904,1280
21,2100.000,2101.361,64,82904,1344
22,2200.000,2201.866,64,82904,1408
23,2300.000,2301.227,64,82904,1472
24,2400.000,2401.715,64,82904,1536
25,2500.000,2502.024,64,82904,1600
26,2600.001,2601.226,64,82904,1664
27,2700.000,2701.707,64,82904,1728
28,2800.001,2802.275,64,82904,1792
29,2900.001,2902.194,64,82904,1856
30,3000.000,3001.162,64,82904,1920
31,3100.000,3101.349,64,82904,1984
32,3200.000,3201.431,64,82904,0
33,3300.000,3301.713,64,82904,64
34,3400.001,3401.349,64,82904,128
35,3500.000,3501.513,64,82904,192
36,3600.000,3601.117,64,82904,256
37,3700.001,3701.221,64,82904,320
38,3800.000,3801.732,64,82904,384
39,3900.000,3901.366,64,82904,448
40,4000.000,4001.361,64,82904,512
41,4100.002,4101.142,64,82904,576
42,4200.001,4201.647,64,82904,640
43,4300.058,4301.201,64,82904,704
44,4400.001,4401.148,64,82904,768
45,4500.000,4501.522,64,82904,832
46,4600.001,4601.366,64,82904,896
47,4700.001,4702.023,64,82904,960
48,4800.000,4801.097,64,82904,1024
49,4900.008,4901.702,64,82904,1088
50,5000.000,5001.406,64,82904,1152
51,5100.000,5101.035,64,82904,1216
52,5200.001,5201.407,64,82904,1280
53,5300.000,5301.049,64,82904,1344
54,5400.000,5401.511,64,82904,1408
55,5500.000,5502.030,64,82904,1472
56,5600.000,5601.076,64,82904,1536
57,5700.001,5701.292,64,82904,1600
58,5800.001,5801.072,64,82904,1664
59,5900.001,5901.219,64,82904,1728
60,6000.000,6001.277,64,82904,1792
61,6100.000,6101.069,64,82904,1856
62,6200.000,6201.310,64,82904,1920
63,6300.000,6301.336,64,82904,1984
64,6400.001,6401.389,64,82904,0
65,6500.000,6501.399,64,82904,64
66,6600.001,6602.404,64,82904,128
67,6700.002,6701.050,64,82904,192
68,6800.000,6801.684,64,82904,256
69,6900.001,6901.743,64,82904,320
70,7000.000,7002.046,64,82904,384
71,7100.000,7101.129,64,82904,448
72,7200.001,7201.227,64,82904,512
73,7300.001,7301.716,64,82904,576
74,7400.001,7401.771,64,82904,640
75,7500.009,7501.455,64,82904,704
76,7600.001,7601.690,64,82904,768
77,7700.001,7701.910,64,82904,832
78,7800.000,7801.557,64,82904,896
79,7900.000,7901.519,64,82904,960
80,8000.001,8001.322,64,82904,1024
81,8100.001,8101.895,64,82904,1088
82,8200.000,8201.636,64,82904,1152
83,8300.000,8301.662,64,82904,1216
84,8400.000,8401.015,64,82904,1280
85,8500.000,8500.909,64,82904,1344
86,8600.000,8601.353,64,82904,1408
87,8700.001,8701.167,64,82904,1472
88,8800.000,8801.120,64,82904,1536
89,8900.001,8901.516,64,82904,1600
90,9000.001,9001.208,64,82904,1664
91,9100.001,9101.407,64,82904,1728
92,9200.000,9200.952,64,82904,1792
93,9300.001,9301.380,64,82904,1856
94,9400.000,9401.312,64,82904,1920
95,9500.000,9501.160,64,82904,1984
96,9600.001,9601.099,64,82904,0
97,9700.001,9701.332,64,82904,64
98,9800.000,9801.456,64,82904,128
99,9900.001,9901.440,64,82904,192
100,10000.000,10001.145,64,82904,256
101,10100.020,10101.658,64,82904,320
102,10200.000,10200.952,64,82904,384
103,10300.001,10300.954,64,82904,448
104,10400.001,10401.519,64,82904,512
105,10500.000,10500.969,64,82904,576
106,10600.279,10601.884,64,82904,640
107,10700.001,10701.916,64,82904,704
108,10800.001,10801.069,64,82904,768
109,10900.001,10901.247,64,82904,832
110,11000.001,11000.940,64,82904,896
111,11100.001,11101.115,64,82904,960
112,11200.000,11200.941,64,82904,1024
113,11300.001,11300.928,64,82904,1088
114,11400.000,11401.018,64,82904,1152
115,11500.000,11501.115,64,82904,1216
116,11600.000,11601.260,64,82904,1280
117,11700.000,11701.417,64,82904,1344
118,11800.000,11801.108,64,82904,1408
119,11900.000,11900.989,64,82904,1472
120,12000.001,12000.996,64,82904,1536
121,12100.000,12101.173,64,82904,1600
122,12200.000,12201.170,64,82904,1664
123,12300.000,12301.525,64,82904,1728
124,12400.000,12401.190,64,82904,1792
125,12500.001,12501.401,64,82904,1856
126,12600.000,12601.109,64,82904,1920
127,12700.001,12701.774,64,82904,1984
