# session 996225 k 1024 groups 32 chunks 2048 rate 90 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.002,4.342,32,41432,0
1,11.111,12.910,32,41432,32
2,22.222,24.101,32,41432,64
3,33.334,34.818,32,41432,96
4,44.445,45.916,32,41432,128
5,55.556,57.288,32,41432,160
6,66.667,68.569,32,41432,192
7,77.778,78.898,32,41432,224
8,88.889,89.657,32,41432,256
9,100.000,100.933,32,41432,288
10,111.111,112.351,32,41432,320
11,122.222,123.266,32,41432,352
12,133.334,134.199,32,41432,384
13,144.445,145.262,32,41432,416
14,155.556,156.685,32,41432,448
15,166.667,167.544,32,41432,480
16,177.778,178.790,32,41432,512
17,188.889,189.863,32,41432,544
18,200.000,201.041,32,41432,576
19,211.112,212.361,32,41432,608
20,222.222,222.838,32,41432,640
21,233.334,234.428,32,41432,672
22,244.445,245.973,32,41432,704
23,255.557,256.786,32,41432,736
24,266.667,267.393,32,41432,768
25,277.778,278.538,32,41432,800
26,288.889,289.470,32,41432,832
27,300.000,301.082,32,41432,864
28,311.111,312.031,32,41432,896
29,322.222,322.828,32,41432,928
30,333.333,333.912,32,41432,960
31,344.445,345.338,32,41432,992
32,355.567,356.233,32,41432,1024
33,366.667,367.210,32,41432,1056
34,377.778,378.823,32,41432,1088
35,388.891,389.497,32,41432,1120
36,400.000,400.865,32,41432,1152
37,411.112,412.292,32,41432,1184
38,422.222,422.992,32,41432,1216
39,433.334,433.881,32,41432,1248
40,444.487,445.027,32,41432,1280
41,455.556,456.318,32,41432,1312
42,466.667,467.211,32,41432,1344
43,477.778,478.513,32,41432,1376
44,488.937,489.566,32,41432,1408
45,500.000,500.777,32,41432,1440
46,511.111,511.629,32,41432,1472
47,522.222,522.888,32,41432,1504
48,533.334,533.945,32,41432,1536
49,544.445,544.972,32,41432,1568
50,555.556,556.134,32,41432,1600
51,566.667,567.462,32,41432,1632
52,577.778,578.389,32,41432,1664
53,588.889,589.399,32,41432,1696
54,600.000,601.016,32,41432,1728
55,611.111,612.060,32,41432,1760
56,622.222,622.798,32,41432,1792
57,633.334,633.849,32,41432,1824
58,644.445,644.955,32,41432,1856
59,655.556,656.278,32,41432,1888
60,666.667,667.704,32,41432,1920
61,677.778,678.667,32,41432,1952
62,688.889,689.887,32,41432,1984
63,700.000,700.660,32,41432,2016
