# session 906071 k 512 groups 16 chunks 2048 rate 50 passes 1 maxbytes 4000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.002,1.711,6,20536,0
1,20.000,20.952,6,20536,16
2,40.000,40.564,6,20536,32
3,60.000,60.670,6,20536,48
4,80.000,80.467,6,20536,64
5,100.000,100.411,6,20536,80
6,120.002,120.466,6,20536,96
7,140.000,140.428,6,20536,112
8,160.000,160.382,6,20536,128
9,180.000,180.485,6,20536,144
10,200.000,200.707,6,20536,160
11,220.000,220.374,6,20536,176
12,240.000,240.326,6,20536,192
13,260.000,260.433,6,20536,208
14,280.000,280.337,6,20536,224
15,300.000,300.334,6,20536,240
16,320.000,320.317,6,20536,256
17,340.000,340.545,6,20536,272
18,360.000,360.355,6,20536,288
19,380.000,380.522,6,20536,304
20,400.000,400.587,6,20536,320
21,420.000,420.624,6,20536,336
22,440.050,440.367,6,20536,352
23,460.000,460.323,6,20536,368
24,480.000,480.299,6,20536,384
25,500.000,500.306,6,20536,400
26,520.000,520.323,6,20536,416
27,540.000,540.337,6,20536,432
28,560.000,560.370,6,20536,448
29,580.000,580.375,6,20536,464
30,600.000,600.533,6,20536,480
31,620.000,620.333,6,20536,496
32,640.000,640.300,6,20536,512
33,660.000,660.277,6,20536,528
34,680.000,680.405,6,20536,544
35,700.000,700.299,6,20536,560
36,720.000,720.292,6,20536,576
37,740.000,740.340,6,20536,592
38,760.000,760.379,6,20536,608
39,780.000,780.465,6,20536,624
40,800.000,800.312,6,20536,640
41,820.000,820.293,6,20536,656
42,840.000,840.455,6,20536,672
43,860.000,860.221,6,20536,688
44,880.000,880.250,6,20536,704
45,900.001,900.443,6,20536,720
46,920.000,920.221,6,20536,736
47,940.000,940.237,6,20536,752
48,960.000,960.231,6,20536,768
49,980.000,980.272,6,20536,784
50,1000.000,1000.222,6,20536,800
51,1020.000,1020.221,6,20536,816
52,1040.000,1040.221,6,20536,832
53,1060.000,1060.219,6,20536,848
54,1080.000,1080.269,6,20536,864
55,1100.000,1100.302,6,20536,880
56,1120.000,1120.233,6,20536,896
57,1140.000,1140.223,6,20536,912
58,1160.000,1160.400,6,20536,928
59,1180.000,1180.250,6,20536,944
60,1200.000,1200.274,6,20536,960
61,1220.000,1220.241,6,20536,976
62,1240.000,1240.257,6,20536,992
63,1260.000,1260.211,6,20536,1008
64,1280.000,1280.220,6,20536,1024
65,1300.000,1300.342,6,20536,1040
66,1320.000,1320.200,6,20536,1056
67,1340.000,1340.366,6,20536,1072
68,1360.000,1360.261,6,20536,1088
69,1380.000,1380.211,6,20536,1104
70,1400.000,1400.272,6,20536,1120
71,1420.000,1420.295,6,20536,1136
72,1440.000,1440.347,6,20536,1152
73,1460.000,1460.198,6,20536,1168
74,1480.000,1480.233,6,20536,1184
75,1500.000,1500.334,6,20536,1200
76,1520.000,1520.203,6,20536,1216
77,1540.000,1540.214,6,20536,1232
78,1560.000,1560.203,6,20536,1248
79,1580.000,1580.220,6,20536,1264
80,1600.000,1600.282,6,20536,1280
81,1620.000,1620.218,6,20536,1296
82,1640.000,1640.200,6,20536,1312
83,1660.000,1660.296,6,20536,1328
84,1680.000,1680.351,6,20536,1344
85,1700.056,1700.303,6,20536,1360
86,1720.000,1720.291,6,20536,1376
87,1740.000,1740.245,6,20536,1392
88,1760.000,1760.238,6,20536,1408
89,1780.000,1780.200,6,20536,1424
90,1800.000,1800.280,6,20536,1440
91,1820.000,1820.314,6,20536,1456
92,1840.000,1840.188,6,20536,1472
93,1860.000,1860.208,6,20536,1488
94,1880.000,1880.201,6,20536,1504
95,1900.000,1900.517,6,20536,1520
96,1920.000,1920.447,6,20536,1536
97,1940.000,1940.255,6,20536,1552
98,1960.000,1960.211,6,20536,1568
99,1980.001,1980.338,6,20536,1584
100,2000.000,2000.332,6,20536,1600
101,2020.000,2020.184,6,20536,1616
102,2040.000,2040.192,6,20536,1632
103,2060.000,2060.182,6,20536,1648
104,2080.000,2080.188,6,20536,1664
105,2100.000,2100.230,6,20536,1680
106,2120.000,2120.215,6,20536,1696
107,2140.000,2140.323,6,20536,1712
108,2160.000,2160.200,6,20536,1728
109,2180.000,2180.367,6,20536,1744
110,2200.000,2200.216,6,20536,1760
111,2220.000,2220.262,6,20536,1776
112,2240.000,2240.222,6,20536,1792
113,2260.000,2260.219,6,20536,1808
114,2280.001,2280.321,6,20536,1824
115,2300.000,2300.270,6,20536,1840
116,2320.000,2320.189,6,20536,1856
117,2340.000,2340.233,6,20536,1872
118,2360.000,2360.199,6,20536,1888
119,2380.000,2380.203,6,20536,1904
120,2400.000,2400.343,6,20536,1920
121,2420.000,2420.213,6,20536,1936
122,2440.000,2440.378,6,20536,1952
123,2460.000,2460.232,6,20536,1968
124,2480.000,2480.220,6,20536,1984
125,2500.000,2500.241,6,20536,2000
126,2520.000,2520.194,6,20536,2016
127,2540.000,2540.188,6,20536,2032
