# session 1451 k 512 groups 16 chunks 2048 rate 75 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.006,2.389,16,20696,0
1,13.334,14.696,16,20696,16
2,26.667,27.470,16,20696,32
3,40.000,41.194,16,20696,48
4,53.334,54.243,16,20696,64
5,66.667,67.327,16,20696,80
6,80.000,80.707,16,20696,96
7,93.333,93.871,16,20696,112
8,106.667,107.565,16,20696,128
9,120.000,120.525,16,20696,144
10,133.334,134.129,16,20696,160
11,146.667,147.474,16,20696,176
12,160.000,160.951,16,20696,192
13,173.333,174.083,16,20696,208
14,186.667,187.174,16,20696,224
15,200.000,200.680,16,20696,240
16,213.333,213.792,16,20696,256
17,226.720,227.172,16,20696,272
18,240.000,240.668,16,20696,288
19,253.333,253.732,16,20696,304
20,266.667,267.193,16,20696,320
21,280.000,280.603,16,20696,336
22,293.334,293.776,16,20696,352
23,306.667,307.144,16,20696,368
24,320.000,320.602,16,20696,384
25,333.334,333.979,16,20696,400
26,346.667,347.519,16,20696,416
27,360.000,360.676,16,20696,432
28,373.334,373.807,16,20696,448
29,386.667,387.232,16,20696,464
30,400.000,400.437,16,20696,480
31,413.334,413.832,16,20696,496
32,426.667,427.047,16,20696,512
33,440.000,440.579,16,20696,528
34,453.334,453.732,16,20696,544
35,466.667,467.082,16,20696,560
36,480.000,480.555,16,20696,576
37,493.334,493.952,16,20696,592
38,506.667,507.131,16,20696,608
39,520.000,520.436,16,20696,624
40,533.334,533.962,16,20696,640
41,546.667,547.145,16,20696,656
42,560.000,560.314,16,20696,672
43,573.334,573.689,16,20696,688
44,586.667,587.153,16,20696,704
45,600.000,600.336,16,20696,720
46,613.334,613.681,16,20696,736
47,626.667,627.231,16,20696,752
48,640.000,640.518,16,20696,768
49,653.334,653.678,16,20696,784
50,666.667,667.131,16,20696,800
51,680.000,680.412,16,20696,816
52,693.334,693.634,16,20696,832
53,706.671,707.022,16,20696,848
54,720.000,720.598,16,20696,864
55,733.334,733.630,16,20696,880
56,746.667,747.197,16,20696,896
57,760.000,760.341,16,20696,912
58,773.334,773.890,16,20696,928
59,786.667,787.113,16,20696,944
60,800.000,800.291,16,20696,960
61,813.334,813.735,16,20696,976
62,826.667,826.950,16,20696,992
63,840.000,840.341,16,20696,1008
64,853.334,853.802,16,20696,1024
65,866.667,866.954,16,20696,1040
66,880.000,880.318,16,20696,1056
67,893.334,893.707,16,20696,1072
68,906.736,907.239,16,20696,1088
69,920.000,920.321,16,20696,1104
70,933.334,933.700,16,20696,1120
71,946.667,946.956,16,20696,1136
72,960.000,960.326,16,20696,1152
73,973.420,973.969,16,20696,1168
74,986.667,986.960,16,20696,1184
75,1000.000,1000.288,16,20696,1200
76,1013.334,1013.710,16,20696,1216
77,1026.667,1027.084,16,20696,1232
78,1040.011,1040.479,16,20696,1248
79,1053.334,1053.656,16,20696,1264
80,1066.667,1067.065,16,20696,1280
81,1080.000,1080.290,16,20696,1296
82,1093.334,1093.722,16,20696,1312
83,1106.667,1107.146,16,20696,1328
84,1120.000,1120.460,16,20696,1344
85,1133.333,1133.767,16,20696,1360
86,1146.667,1147.055,16,20696,1376
87,1160.000,1160.327,16,20696,1392
88,1174.020,1174.387,16,20696,1408
89,1186.667,1187.169,16,20696,1424
90,1200.000,1200.468,16,20696,1440
91,1213.333,1213.610,16,20696,1456
92,1226.667,1226.971,16,20696,1472
93,1240.000,1240.596,16,20696,1488
94,1253.334,1253.622,16,20696,1504
95,1266.667,1266.995,16,20696,1520
96,1280.012,1280.344,16,20696,1536
97,1293.334,1293.891,16,20696,1552
98,1306.667,1307.255,16,20696,1568
99,1320.000,1320.284,16,20696,1584
100,1333.334,1333.744,16,20696,1600
101,1346.740,1347.230,16,20696,1616
102,1360.000,1360.352,16,20696,1632
103,1373.334,1373.748,16,20696,1648
104,1386.667,1387.106,16,20696,1664
105,1400.000,1400.332,16,20696,1680
106,1413.334,1413.630,16,20696,1696
107,1426.667,1427.052,16,20696,1712
108,1440.097,1440.467,16,20696,1728
109,1453.334,1453.726,16,20696,1744
110,1466.667,1466.967,16,20696,1760
111,1480.000,1480.476,16,20696,1776
112,1493.334,1493.667,16,20696,1792
113,1506.667,1507.090,16,20696,1808
114,1520.000,1520.289,16,20696,1824
115,1533.334,1533.910,16,20696,1840
116,1546.667,1546.946,16,20696,1856
117,1560.000,1560.305,16,20696,1872
118,1573.338,1573.855,16,20696,1888
119,1586.667,1587.035,16,20696,1904
120,1600.000,1600.391,16,20696,1920
121,1613.334,1613.610,16,20696,1936
122,1626.667,1627.217,16,20696,1952
123,1640.000,1640.438,16,20696,1968
124,1653.334,1653.652,16,20696,1984
125,1666.667,1666.965,16,20696,2000
126,1680.000,1680.474,16,20696,2016
127,1693.334,1693.615,16,20696,2032
