# session 499236 k 512 groups 16 chunks 2048 rate 60 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,2.447,16,20696,0
1,16.667,17.437,16,20696,16
2,33.333,34.009,16,20696,32
3,50.000,50.731,16,20696,48
4,66.667,67.205,16,20696,64
5,83.333,83.873,16,20696,80
6,100.000,100.631,16,20696,96
7,116.667,117.300,16,20696,112
8,133.333,133.893,16,20696,128
9,150.000,150.503,16,20696,144
10,166.667,167.443,16,20696,160
11,183.333,184.050,16,20696,176
12,200.000,201.278,16,20696,192
13,216.667,217.195,16,20696,208
14,233.334,233.861,16,20696,224
15,250.000,250.626,16,20696,240
16,266.667,267.129,16,20696,256
17,283.377,283.886,16,20696,272
18,300.000,300.380,16,20696,288
19,316.667,317.044,16,20696,304
20,333.334,333.840,16,20696,320
21,350.000,350.488,16,20696,336
22,366.667,367.234,16,20696,352
23,383.334,383.756,16,20696,368
24,400.000,400.487,16,20696,384
25,416.667,417.209,16,20696,400
26,433.333,433.861,16,20696,416
27,450.000,450.405,16,20696,432
28,466.667,467.048,16,20696,448
29,483.333,483.722,16,20696,464
30,500.000,500.426,16,20696,480
31,516.667,517.212,16,20696,496
32,533.334,533.926,16,20696,512
33,550.000,550.532,16,20696,528
34,566.667,567.032,16,20696,544
35,583.334,583.768,16,20696,560
36,600.000,600.543,16,20696,576
37,616.667,617.078,16,20696,592
38,633.334,633.728,16,20696,608
39,650.000,650.397,16,20696,624
40,666.667,667.064,16,20696,640
41,683.334,683.782,16,20696,656
42,700.000,700.350,16,20696,672
43,716.667,717.053,16,20696,688
44,733.333,733.916,16,20696,704
45,750.000,750.410,16,20696,720
46,766.667,767.046,16,20696,736
47,783.333,783.710,16,20696,752
48,800.268,800.634,16,20696,768
49,816.667,817.070,16,20696,784
50,833.334,833.630,16,20696,800
51,850.000,850.370,16,20696,816
52,866.667,867.121,16,20696,832
53,883.334,883.647,16,20696,848
54,900.000,900.304,16,20696,864
55,916.667,916.962,16,20696,880
56,933.334,933.669,16,20696,896
57,950.000,950.311,16,20696,912
58,966.667,967.037,16,20696,928
59,983.334,983.622,16,20696,944
60,1000.000,1000.293,16,20696,960
61,1016.667,1017.000,16,20696,976
62,1033.334,1033.763,16,20696,992
63,1050.034,1050.373,16,20696,1008
64,1066.667,1066.961,16,20696,1024
65,1083.334,1083.623,16,20696,1040
66,1100.000,1100.349,16,20696,1056
67,1116.667,1116.962,16,20696,1072
68,1133.334,1133.682,16,20696,1088
69,1150.000,1150.406,16,20696,1104
70,1166.667,1166.968,16,20696,1120
71,1183.334,1183.681,16,20696,1136
72,1200.000,1200.282,16,20696,1152
73,1216.667,1216.956,16,20696,1168
74,1233.334,1233.603,16,20696,1184
75,1250.000,1250.305,16,20696,1200
76,1266.667,1267.015,16,20696,1216
77,1283.334,1283.643,16,20696,1232
78,1300.000,1300.278,16,20696,1248
79,1316.667,1316.986,16,20696,1264
80,1333.334,1333.856,16,20696,1280
81,1350.000,1350.286,16,20696,1296
82,1366.667,1366.959,16,20696,1312
83,1383.334,1383.623,16,20696,1328
84,1400.000,1400.351,16,20696,1344
85,1416.667,1417.105,16,20696,1360
86,1433.334,1433.639,16,20696,1376
87,1450.000,1450.353,16,20696,1392
88,1466.667,1467.064,16,20696,1408
89,1483.334,1483.809,16,20696,1424
90,1500.000,1500.273,16,20696,1440
91,1516.667,1516.979,16,20696,1456
92,1533.334,1533.628,16,20696,1472
93,1550.000,1550.301,16,20696,1488
94,1566.667,1567.159,16,20696,1504
95,1583.334,1583.931,16,20696,1520
96,1600.000,1600.385,16,20696,1536
97,1616.667,1617.140,16,20696,1552
98,1633.334,1633.690,16,20696,1568
99,1650.000,1650.277,16,20696,1584
100,1666.667,1666.960,16,20696,1600
101,1683.334,1683.627,16,20696,1616
102,1700.000,1700.283,16,20696,1632
103,1716.667,1716.941,16,20696,1648
104,1733.333,1733.631,16,20696,1664
105,1750.000,1750.326,16,20696,1680
106,1766.667,1766.954,16,20696,1696
107,1783.334,1783.693,16,20696,1712
108,1800.000,1800.334,16,20696,1728
109,1816.667,1816.943,16,20696,1744
110,1833.334,1833.687,16,20696,1760
111,1850.000,1850.340,16,20696,1776
112,1866.667,1866.946,16,20696,1792
113,1883.334,1883.623,16,20696,1808
114,1900.000,1900.357,16,20696,1824
115,1916.667,1916.994,16,20696,1840
116,1933.334,1933.621,16,20696,1856
117,1950.000,1950.296,16,20696,1872
118,1966.667,1967.016,16,20696,1888
119,1983.334,1983.620,16,20696,1904
120,2000.000,2000.501,16,20696,1920
121,2016.667,2016.951,16,20696,1936
122,2033.382,2033.666,16,20696,1952
123,2050.000,2050.312,16,20696,1968
124,2066.667,2067.014,16,20696,1984
125,2083.334,2083.733,16,20696,2000
126,2100.000,2100.298,16,20696,2016
127,2116.667,2117.009,16,20696,2032
