# session 478079 k 512 groups 16 chunks 2048 rate 55 passes 1 maxbytes 8000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.002,1.718,3,20488,0
1,18.182,18.758,3,20488,16
2,36.364,36.857,3,20488,32
3,54.546,55.096,3,20488,48
4,72.727,73.129,3,20488,64
5,90.909,91.223,3,20488,80
6,109.091,109.604,3,20488,96
7,127.273,127.804,3,20488,112
8,145.455,145.815,3,20488,128
9,163.637,164.034,3,20488,144
10,181.818,182.206,3,20488,160
11,200.038,200.306,3,20488,176
12,218.182,218.567,3,20488,192
13,236.364,236.754,3,20488,208
14,254.546,254.831,3,20488,224
15,272.809,273.112,3,20488,240
16,290.909,291.292,3,20488,256
17,309.091,309.506,3,20488,272
18,327.273,327.751,3,20488,288
19,345.455,345.855,3,20488,304
20,363.637,363.943,3,20488,320
21,381.818,382.115,3,20488,336
22,400.000,400.348,3,20488,352
23,418.182,418.428,3,20488,368
24,436.364,436.614,3,20488,384
25,454.546,454.857,3,20488,400
26,472.728,473.102,3,20488,416
27,490.909,491.326,3,20488,432
28,509.091,509.507,3,20488,448
29,527.273,527.745,3,20488,464
30,545.455,545.746,3,20488,480
31,563.637,564.104,3,20488,496
32,581.818,582.072,3,20488,512
33,600.000,600.303,3,20488,528
34,618.182,618.484,3,20488,544
35,636.364,636.608,3,20488,560
36,654.546,654.805,3,20488,576
37,672.727,673.177,3,20488,592
38,690.909,691.177,3,20488,608
39,709.091,709.425,3,20488,624
40,727.273,727.720,3,20488,640
41,745.455,745.789,3,20488,656
42,763.637,763.914,3,20488,672
43,781.818,782.394,3,20488,688
44,800.000,800.250,3,20488,704
45,818.182,818.429,3,20488,720
46,836.364,836.665,3,20488,736
47,854.546,854.762,3,20488,752
48,872.728,872.938,3,20488,768
49,890.948,891.244,3,20488,784
50,909.102,909.382,3,20488,800
51,927.273,927.586,3,20488,816
52,945.455,945.755,3,20488,832
53,963.637,963.854,3,20488,848
54,981.819,982.094,3,20488,864
55,1000.006,1000.413,3,20488,880
56,1018.182,1018.396,3,20488,896
57,1036.364,1036.668,3,20488,912
58,1054.546,1054.797,3,20488,928
59,1072.727,1072.938,3,20488,944
60,1090.909,1091.121,3,20488,960
61,1109.091,1109.538,3,20488,976
62,1127.273,1127.621,3,20488,992
63,1145.455,1145.828,3,20488,1008
64,1163.637,1163.850,3,20488,1024
65,1181.818,1182.070,3,20488,1040
66,1200.000,1200.221,3,20488,1056
67,1218.182,1218.486,3,20488,1072
68,1236.364,1236.575,3,20488,1088
69,1254.546,1254.785,3,20488,1104
70,1272.727,1273.007,3,20488,1120
71,1290.909,1291.107,3,20488,1136
72,1309.161,1309.480,3,20488,1152
73,1327.273,1327.625,3,20488,1168
74,1345.455,1345.663,3,20488,1184
75,1363.637,1363.822,3,20488,1200
76,1381.818,1382.028,3,20488,1216
77,1400.000,1400.205,3,20488,1232
78,1418.182,1418.360,3,20488,1248
79,1436.364,1436.599,3,20488,1264
80,1454.546,1454.956,3,20488,1280
81,1472.753,1472.949,3,20488,1296
82,1490.909,1491.153,3,20488,1312
83,1509.091,1509.297,3,20488,1328
84,1527.273,1527.611,3,20488,1344
85,1545.455,1545.753,3,20488,1360
86,1563.637,1563.811,3,20488,1376
87,1581.819,1581.990,3,20488,1392
88,1600.000,1600.189,3,20488,1408
89,1618.182,1618.370,3,20488,1424
90,1636.364,1636.595,3,20488,1440
91,1654.546,1654.778,3,20488,1456
92,1672.728,1673.140,3,20488,1472
93,1690.909,1691.262,3,20488,1488
94,1709.094,1709.459,3,20488,1504
95,1727.273,1727.540,3,20488,1520
96,1745.455,1745.682,3,20488,1536
97,1763.637,1763.848,3,20488,1552
98,1781.819,1782.032,3,20488,1568
99,1800.000,1800.181,3,20488,1584
100,1818.182,1818.380,3,20488,1600
101,1836.364,1836.671,3,20488,1616
102,1854.546,1854.746,3,20488,1632
103,1872.728,1872.936,3,20488,1648
104,1890.909,1891.136,3,20488,1664
105,1909.092,1909.369,3,20488,1680
106,1927.273,1927.480,3,20488,1696
107,1945.455,1945.660,3,20488,1712
108,1963.637,1963.852,3,20488,1728
109,1981.819,1982.071,3,20488,1744
110,2000.000,2000.222,3,20488,1760
111,2018.182,2018.397,3,20488,1776
112,2036.364,2036.560,3,20488,1792
113,2054.546,2054.728,3,20488,1808
114,2072.727,2072.915,3,20488,1824
115,2090.909,2091.109,3,20488,1840
116,2109.091,2109.452,3,20488,1856
117,2127.273,2127.493,3,20488,1872
118,2145.455,2145.740,3,20488,1888
119,2163.754,2164.067,3,20488,1904
120,2181.819,2182.003,3,20488,1920
121,2200.000,2200.199,3,20488,1936
122,2218.182,2218.367,3,20488,1952
123,2236.364,2236.542,3,20488,1968
124,2254.546,2254.823,3,20488,1984
125,2272.873,2273.105,3,20488,2000
126,2290.909,2291.091,3,20488,2016
127,2309.091,2309.401,3,20488,2032
