# session 2936 k 2048 groups 64 chunks 2048 rate 20 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.002,5.501,64,82904,0
1,50.000,52.755,64,82904,64
2,100.000,103.856,64,82904,128
3,150.001,152.506,64,82904,192
4,200.000,202.046,64,82904,256
5,250.000,251.745,64,82904,320
6,300.001,302.475,64,82904,384
7,350.000,351.538,64,82904,448
8,400.000,402.402,64,82904,512
9,450.000,451.864,64,82904,576
10,500.000,501.444,64,82904,640
11,550.001,551.598,64,82904,704
12,600.000,601.658,64,82904,768
13,650.000,651.531,64,82904,832
14,700.000,701.706,64,82904,896
15,750.000,751.831,64,82904,960
16,800.000,801.862,64,82904,1024
17,850.000,851.338,64,82904,1088
18,900.008,901.286,64,82904,1152
19,950.000,951.147,64,82904,1216
20,1000.000,1001.427,64,82904,1280
21,1050.000,1051.121,64,82904,1344
22,1100.001,1101.487,64,82904,1408
23,1150.000,1151.728,64,82904,1472
24,1200.000,1201.705,64,82904,1536
25,1250.000,1251.432,64,82904,1600
26,1300.000,1301.105,64,82904,1664
27,1350.000,1351.125,64,82904,1728
28,1400.000,1401.114,64,82904,1792
29,1450.000,1451.526,64,82904,1856
30,1500.000,1501.218,64,82904,1920
31,1550.000,1551.173,64,82904,1984
