# session 481475 k 512 groups 16 chunks 2048 rate 60 passes 1 maxbytes 60000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.002,1.652,1,20456,0
1,16.667,17.156,1,20456,16
2,33.333,33.789,1,20456,32
3,50.000,50.561,1,20456,48
4,66.688,67.401,1,20456,64
5,83.334,83.914,1,20456,80
6,100.000,100.345,1,20456,96
7,116.667,117.019,1,20456,112
8,133.334,133.692,1,20456,128
9,150.000,150.332,1,20456,144
10,166.667,167.159,1,20456,160
11,183.334,183.565,1,20456,176
12,200.004,200.361,1,20456,192
13,216.667,216.978,1,20456,208
14,233.334,233.583,1,20456,224
15,250.000,250.245,1,20456,240
16,266.667,266.944,1,20456,256
17,283.333,283.690,1,20456,272
18,300.000,300.627,1,20456,288
19,316.667,316.935,1,20456,304
20,333.334,333.584,1,20456,320
21,350.000,350.303,1,20456,336
22,366.668,367.242,1,20456,352
23,383.333,383.572,1,20456,368
24,400.014,400.255,1,20456,384
25,416.669,416.909,1,20456,400
26,433.334,433.582,1,20456,416
27,450.000,450.202,1,20456,432
28,466.667,466.895,1,20456,448
29,483.334,483.543,1,20456,464
30,500.000,500.338,1,20456,480
31,516.667,516.882,1,20456,496
32,533.333,533.555,1,20456,512
33,550.000,550.229,1,20456,528
34,566.667,566.905,1,20456,544
35,583.333,583.551,1,20456,560
36,600.000,600.216,1,20456,576
37,616.667,616.898,1,20456,592
38,633.334,633.687,1,20456,608
39,650.000,650.209,1,20456,624
40,666.667,666.921,1,20456,640
41,683.350,683.692,1,20456,656
42,700.000,700.203,1,20456,672
43,716.667,716.940,1,20456,688
44,733.334,733.514,1,20456,704
45,750.000,750.178,1,20456,720
46,766.667,766.915,1,20456,736
47,783.334,783.842,1,20456,752
48,800.060,800.243,1,20456,768
49,816.667,816.882,1,20456,784
50,833.334,833.527,1,20456,800
51,850.000,850.189,1,20456,816
52,866.667,866.857,1,20456,832
53,883.334,883.793,1,20456,848
54,900.000,900.365,1,20456,864
55,916.667,916.949,1,20456,880
56,933.334,933.515,1,20456,896
57,950.000,950.181,1,20456,912
58,966.667,966.912,1,20456,928
59,983.334,983.539,1,20456,944
60,1000.000,1000.189,1,20456,960
61,1016.667,1016.985,1,20456,976
62,1033.343,1033.563,1,20456,992
63,1050.000,1050.297,1,20456,1008
64,1066.667,1066.869,1,20456,1024
65,1083.334,1083.536,1,20456,1040
66,1100.000,1100.205,1,20456,1056
67,1116.667,1116.840,1,20456,1072
68,1133.334,1133.521,1,20456,1088
69,1150.000,1150.163,1,20456,1104
70,1166.667,1166.976,1,20456,1120
71,1183.334,1183.496,1,20456,1136
72,1200.000,1200.206,1,20456,1152
73,1216.667,1216.990,1,20456,1168
74,1233.346,1233.528,1,20456,1184
75,1250.000,1250.168,1,20456,1200
76,1266.667,1266.879,1,20456,1216
77,1283.334,1283.553,1,20456,1232
78,1300.000,1300.166,1,20456,1248
79,1316.667,1316.920,1,20456,1264
80,1333.334,1333.499,1,20456,1280
81,1350.000,1350.165,1,20456,1296
82,1366.667,1366.974,1,20456,1312
83,1383.334,1383.501,1,20456,1328
84,1400.000,1400.186,1,20456,1344
85,1416.667,1416.885,1,20456,1360
86,1433.334,1433.504,1,20456,1376
87,1450.000,1450.186,1,20456,1392
88,1466.667,1466.856,1,20456,1408
89,1483.334,1483.616,1,20456,1424
90,1500.000,1500.206,1,20456,1440
91,1516.667,1516.863,1,20456,1456
92,1533.334,1533.510,1,20456,1472
93,1550.001,1550.281,1,20456,1488
94,1566.667,1566.855,1,20456,1504
95,1583.334,1583.496,1,20456,1520
96,1600.000,1600.153,1,20456,1536
97,1616.667,1616.838,1,20456,1552
98,1633.334,1633.508,1,20456,1568
99,1650.000,1650.157,1,20456,1584
100,1666.682,1667.067,1,20456,1600
101,1683.334,1683.541,1,20456,1616
102,1700.000,1700.174,1,20456,1632
103,1716.667,1716.868,1,20456,1648
104,1733.334,1733.504,1,20456,1664
105,1750.000,1750.196,1,20456,1680
106,1766.667,1766.984,1,20456,1696
107,1783.334,1783.514,1,20456,1712
108,1800.070,1800.468,1,20456,1728
109,1816.667,1816.944,1,20456,1744
110,1833.334,1833.841,1,20456,1760
111,1850.206,1850.406,1,20456,1776
112,1866.667,1866.920,1,20456,1792
113,1883.334,1883.489,1,20456,1808
114,1900.000,1900.234,1,20456,1824
115,1916.667,1917.145,1,20456,1840
116,1933.334,1933.533,1,20456,1856
117,1950.000,1950.201,1,20456,1872
118,1966.667,1966.856,1,20456,1888
119,1983.334,1983.744,1,20456,1904
120,2000.008,2000.213,1,20456,1920
121,2016.667,2016.830,1,20456,1936
122,2033.334,2033.503,1,20456,1952
123,2050.000,2050.190,1,20456,1968
124,2066.667,2066.850,1,20456,1984
125,2083.334,2083.534,1,20456,2000
126,2100.001,2100.199,1,20456,2016
127,2116.667,2116.841,1,20456,2032
