# session 808564 k 512 groups 16 chunks 2048 rate 60 passes 1 maxbytes 8000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,1.682,3,20488,0
1,16.667,17.377,3,20488,16
2,33.333,33.901,3,20488,32
3,50.000,50.349,3,20488,48
4,66.667,67.194,3,20488,64
5,83.333,83.667,3,20488,80
6,100.000,100.357,3,20488,96
7,116.678,117.044,3,20488,112
8,133.334,133.669,3,20488,128
9,150.000,150.379,3,20488,144
10,166.667,167.255,3,20488,160
11,183.334,183.619,3,20488,176
12,200.000,200.429,3,20488,192
13,216.667,216.949,3,20488,208
14,233.333,233.625,3,20488,224
15,250.000,250.387,3,20488,240
16,266.667,266.954,3,20488,256
17,283.333,283.824,3,20488,272
18,300.000,300.290,3,20488,288
19,316.667,317.113,3,20488,304
20,333.333,333.599,3,20488,320
21,350.000,350.262,3,20488,336
22,366.667,367.173,3,20488,352
23,383.333,383.583,3,20488,368
24,400.083,400.368,3,20488,384
25,416.667,416.959,3,20488,400
26,433.333,433.589,3,20488,416
27,450.000,450.296,3,20488,432
28,466.667,466.959,3,20488,448
29,483.334,483.708,3,20488,464
30,500.000,500.253,3,20488,480
31,516.667,516.931,3,20488,496
32,533.757,534.035,3,20488,512
33,550.000,550.383,3,20488,528
34,566.667,566.925,3,20488,544
35,583.333,583.586,3,20488,560
36,600.000,600.410,3,20488,576
37,616.667,616.950,3,20488,592
38,633.334,633.714,3,20488,608
39,650.000,650.280,3,20488,624
40,666.667,667.102,3,20488,640
41,683.334,683.704,3,20488,656
42,700.000,700.317,3,20488,672
43,716.667,716.934,3,20488,688
44,733.334,733.570,3,20488,704
45,750.000,750.369,3,20488,720
46,766.667,766.894,3,20488,736
47,783.334,783.562,3,20488,752
48,800.000,800.210,3,20488,768
49,816.667,816.899,3,20488,784
50,833.334,833.579,3,20488,800
51,850.000,850.244,3,20488,816
52,866.722,866.958,3,20488,832
53,883.333,883.593,3,20488,848
54,900.000,900.227,3,20488,864
55,916.667,916.963,3,20488,880
56,933.334,933.552,3,20488,896
57,950.000,950.300,3,20488,912
58,966.667,966.947,3,20488,928
59,983.334,983.588,3,20488,944
60,1000.000,1000.257,3,20488,960
61,1016.667,1016.909,3,20488,976
62,1033.334,1033.560,3,20488,992
63,1050.000,1050.296,3,20488,1008
64,1066.667,1067.050,3,20488,1024
65,1083.333,1083.637,3,20488,1040
66,1100.000,1100.179,3,20488,1056
67,1116.667,1116.862,3,20488,1072
68,1133.334,1133.564,3,20488,1088
69,1150.000,1150.326,3,20488,1104
70,1166.667,1166.863,3,20488,1120
71,1183.334,1183.681,3,20488,1136
72,1200.000,1200.249,3,20488,1152
73,1216.667,1216.888,3,20488,1168
74,1233.334,1233.518,3,20488,1184
75,1250.000,1250.207,3,20488,1200
76,1266.667,1267.031,3,20488,1216
77,1283.334,1283.536,3,20488,1232
78,1300.000,1300.200,3,20488,1248
79,1316.667,1316.860,3,20488,1264
80,1333.333,1333.526,3,20488,1280
81,1350.000,1350.188,3,20488,1296
82,1366.667,1366.863,3,20488,1312
83,1383.334,1383.585,3,20488,1328
84,1400.001,1400.364,3,20488,1344
85,1416.667,1416.873,3,20488,1360
86,1433.485,1433.665,3,20488,1376
87,1450.000,1450.218,3,20488,1392
88,1466.667,1467.139,3,20488,1408
89,1483.334,1483.563,3,20488,1424
90,1500.000,1500.182,3,20488,1440
91,1516.667,1516.876,3,20488,1456
92,1533.334,1533.558,3,20488,1472
93,1550.000,1550.174,3,20488,1488
94,1566.667,1567.076,3,20488,1504
95,1583.334,1583.502,3,20488,1520
96,1600.000,1600.212,3,20488,1536
97,1616.667,1616.853,3,20488,1552
98,1633.334,1633.545,3,20488,1568
99,1650.000,1650.188,3,20488,1584
100,1666.667,1666.868,3,20488,1600
101,1683.334,1683.530,3,20488,1616
102,1700.000,1700.270,3,20488,1632
103,1716.667,1716.854,3,20488,1648
104,1733.333,1733.516,3,20488,1664
105,1750.000,1750.186,3,20488,1680
106,1766.667,1766.868,3,20488,1696
107,1783.334,1783.504,3,20488,1712
108,1800.000,1800.180,3,20488,1728
109,1816.667,1816.855,3,20488,1744
110,1833.333,1833.500,3,20488,1760
111,1850.000,1850.185,3,20488,1776
112,1866.667,1866.857,3,20488,1792
113,1883.334,1883.520,3,20488,1808
114,1900.000,1900.168,3,20488,1824
115,1916.667,1916.888,3,20488,1840
116,1933.334,1933.733,3,20488,1856
117,1950.000,1950.186,3,20488,1872
118,1966.667,1966.895,3,20488,1888
119,1983.334,1983.574,3,20488,1904
120,2000.000,2000.177,3,20488,1920
121,2016.667,2016.883,3,20488,1936
122,2033.334,2033.509,3,20488,1952
123,2050.000,2050.352,3,20488,1968
124,2066.667,2066.857,3,20488,1984
125,2083.334,2083.518,3,20488,2000
126,2100.000,2100.175,3,20488,2016
127,2116.667,2116.877,3,20488,2032
