# session 39653 k 512 groups 16 chunks 2048 rate 60 passes 1 maxbytes 32000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,1.410,1,20456,0
1,16.667,17.605,1,20456,16
2,33.337,33.867,1,20456,32
3,50.000,50.457,1,20456,48
4,66.667,67.010,1,20456,64
5,83.371,84.026,1,20456,80
6,100.000,100.299,1,20456,96
7,116.667,117.062,1,20456,112
8,133.333,133.630,1,20456,128
9,150.000,150.341,1,20456,144
10,166.667,167.135,1,20456,160
11,183.333,183.567,1,20456,176
12,200.000,200.210,1,20456,192
13,216.667,217.073,1,20456,208
14,233.334,233.783,1,20456,224
15,250.000,250.447,1,20456,240
16,266.667,266.925,1,20456,256
17,283.333,283.549,1,20456,272
18,300.000,300.261,1,20456,288
19,316.667,316.943,1,20456,304
20,333.334,333.678,1,20456,320
21,350.000,350.272,1,20456,336
22,366.667,366.929,1,20456,352
23,383.353,383.685,1,20456,368
24,400.000,400.202,1,20456,384
25,416.667,416.898,1,20456,400
26,433.334,433.534,1,20456,416
27,450.000,450.303,1,20456,432
28,466.667,466.941,1,20456,448
29,483.357,483.602,1,20456,464
30,500.000,500.225,1,20456,480
31,516.667,516.916,1,20456,496
32,533.422,533.687,1,20456,512
33,550.002,550.285,1,20456,528
34,566.667,567.065,1,20456,544
35,583.334,583.602,1,20456,560
36,600.000,600.222,1,20456,576
37,616.667,616.956,1,20456,592
38,633.369,633.607,1,20456,608
39,650.000,650.223,1,20456,624
40,666.667,667.083,1,20456,640
41,683.334,683.625,1,20456,656
42,700.000,700.204,1,20456,672
43,716.667,717.015,1,20456,688
44,733.334,733.543,1,20456,704
45,750.000,750.182,1,20456,720
46,766.667,766.881,1,20456,736
47,783.334,783.595,1,20456,752
48,800.000,800.318,1,20456,768
49,816.667,816.999,1,20456,784
50,833.334,833.505,1,20456,800
51,850.000,850.224,1,20456,816
52,866.667,866.948,1,20456,832
53,883.334,883.550,1,20456,848
54,900.000,900.560,1,20456,864
55,916.667,916.905,1,20456,880
56,933.334,933.509,1,20456,896
57,950.000,950.194,1,20456,912
58,966.667,966.892,1,20456,928
59,983.334,983.506,1,20456,944
60,1000.000,1000.178,1,20456,960
61,1016.667,1017.021,1,20456,976
62,1033.334,1033.519,1,20456,992
63,1050.000,1050.172,1,20456,1008
64,1066.667,1066.859,1,20456,1024
65,1083.334,1083.508,1,20456,1040
66,1100.000,1100.215,1,20456,1056
67,1116.667,1116.837,1,20456,1072
68,1133.334,1133.576,1,20456,1088
69,1150.000,1150.167,1,20456,1104
70,1166.667,1166.867,1,20456,1120
71,1183.334,1183.490,1,20456,1136
72,1200.000,1200.162,1,20456,1152
73,1216.667,1216.839,1,20456,1168
74,1233.334,1233.818,1,20456,1184
75,1250.002,1250.174,1,20456,1200
76,1266.667,1266.963,1,20456,1216
77,1283.334,1283.493,1,20456,1232
78,1300.000,1300.209,1,20456,1248
79,1316.667,1316.898,1,20456,1264
80,1333.334,1333.606,1,20456,1280
81,1350.000,1350.164,1,20456,1296
82,1366.667,1366.882,1,20456,1312
83,1383.334,1383.513,1,20456,1328
84,1400.000,1400.168,1,20456,1344
85,1416.667,1416.842,1,20456,1360
86,1433.334,1433.492,1,20456,1376
87,1450.000,1450.187,1,20456,1392
88,1466.667,1466.856,1,20456,1408
89,1483.334,1483.543,1,20456,1424
90,1500.000,1500.226,1,20456,1440
91,1516.667,1516.960,1,20456,1456
92,1533.334,1533.609,1,20456,1472
93,1550.000,1550.178,1,20456,1488
94,1566.667,1566.833,1,20456,1504
95,1583.334,1583.574,1,20456,1520
96,1600.038,1600.203,1,20456,1536
97,1616.667,1616.854,1,20456,1552
98,1633.347,1633.584,1,20456,1568
99,1650.000,1650.182,1,20456,1584
100,1666.702,1666.872,1,20456,1600
101,1683.334,1683.556,1,20456,1616
102,1700.000,1700.203,1,20456,1632
103,1716.667,1716.898,1,20456,1648
104,1733.334,1733.494,1,20456,1664
105,1750.001,1750.221,1,20456,1680
106,1766.667,1766.836,1,20456,1696
107,1783.334,1783.567,1,20456,1712
108,1800.000,1800.169,1,20456,1728
109,1816.667,1816.840,1,20456,1744
110,1833.334,1833.490,1,20456,1760
111,1850.000,1850.209,1,20456,1776
112,1866.667,1866.858,1,20456,1792
113,1883.334,1883.741,1,20456,1808
114,1900.000,1900.286,1,20456,1824
115,1916.667,1916.960,1,20456,1840
116,1933.334,1933.522,1,20456,1856
117,1950.000,1950.183,1,20456,1872
118,1966.667,1966.898,1,20456,1888
119,1983.334,1983.515,1,20456,1904
120,2000.000,2000.189,1,20456,1920
121,2016.667,2016.848,1,20456,1936
122,2033.334,2033.541,1,20456,1952
123,2050.000,2050.150,1,20456,1968
124,2066.667,2066.834,1,20456,1984
125,2083.334,2083.490,1,20456,2000
126,2100.000,2100.162,1,20456,2016
127,2116.667,2116.966,1,20456,2032
