# session 467191 k 512 groups 16 chunks 2048 rate 90 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.005,2.597,16,20696,0
1,11.111,11.918,16,20696,16
2,22.222,23.121,16,20696,32
3,33.334,34.075,16,20696,48
4,44.445,45.114,16,20696,64
5,55.556,56.242,16,20696,80
6,66.667,67.408,16,20696,96
7,77.778,78.647,16,20696,112
8,88.889,89.447,16,20696,128
9,100.000,100.675,16,20696,144
10,111.111,111.804,16,20696,160
11,122.223,122.735,16,20696,176
12,133.334,133.964,16,20696,192
13,144.445,144.875,16,20696,208
14,155.556,155.978,16,20696,224
15,166.667,167.374,16,20696,240
16,177.778,178.178,16,20696,256
17,188.889,189.591,16,20696,272
18,200.000,200.377,16,20696,288
19,211.111,211.532,16,20696,304
20,222.222,222.629,16,20696,320
21,233.334,233.708,16,20696,336
22,244.445,244.864,16,20696,352
23,255.556,256.381,16,20696,368
24,266.667,267.046,16,20696,384
25,277.778,278.364,16,20696,400
26,288.889,289.412,16,20696,416
27,300.000,300.376,16,20696,432
28,311.111,311.500,16,20696,448
29,322.223,322.638,16,20696,464
30,333.334,333.823,16,20696,480
31,344.445,345.178,16,20696,496
32,355.556,356.068,16,20696,512
33,366.667,367.042,16,20696,528
34,377.778,378.145,16,20696,544
35,388.889,389.261,16,20696,560
36,400.000,400.398,16,20696,576
37,411.111,411.507,16,20696,592
38,422.223,422.585,16,20696,608
39,433.334,433.771,16,20696,624
40,444.445,444.838,16,20696,640
41,455.556,455.869,16,20696,656
42,466.667,467.197,16,20696,672
43,477.778,478.118,16,20696,688
44,488.889,489.401,16,20696,704
45,500.000,500.367,16,20696,720
46,511.111,511.415,16,20696,736
47,522.223,522.516,16,20696,752
48,533.334,533.781,16,20696,768
49,544.445,544.817,16,20696,784
50,555.556,556.008,16,20696,800
51,566.751,567.069,16,20696,816
52,577.778,578.109,16,20696,832
53,588.889,589.221,16,20696,848
54,600.000,600.386,16,20696,864
55,611.111,611.414,16,20696,880
56,622.223,622.523,16,20696,896
57,633.334,633.657,16,20696,912
58,644.445,644.841,16,20696,928
59,655.556,655.845,16,20696,944
60,666.667,666.956,16,20696,960
61,677.778,678.082,16,20696,976
62,688.889,689.203,16,20696,992
63,700.000,700.314,16,20696,1008
64,711.111,711.410,16,20696,1024
65,722.222,722.634,16,20696,1040
66,733.334,733.675,16,20696,1056
67,744.445,744.767,16,20696,1072
68,755.556,755.875,16,20696,1088
69,766.667,766.953,16,20696,1104
70,777.779,778.074,16,20696,1120
71,788.889,789.243,16,20696,1136
72,800.000,800.287,16,20696,1152
73,811.111,811.462,16,20696,1168
74,822.222,822.503,16,20696,1184
75,833.334,833.657,16,20696,1200
76,844.445,844.748,16,20696,1216
77,855.556,855.883,16,20696,1232
78,866.667,866.944,16,20696,1248
79,877.778,878.186,16,20696,1264
80,888.889,889.174,16,20696,1280
81,900.000,900.328,16,20696,1296
82,911.111,911.465,16,20696,1312
83,922.222,922.511,16,20696,1328
84,933.334,933.754,16,20696,1344
85,944.463,944.870,16,20696,1360
86,955.556,955.874,16,20696,1376
87,966.667,966.958,16,20696,1392
88,977.778,978.214,16,20696,1408
89,988.889,989.192,16,20696,1424
90,1000.000,1000.315,16,20696,1440
91,1011.111,1011.401,16,20696,1456
92,1022.223,1022.523,16,20696,1472
93,1033.334,1033.619,16,20696,1488
94,1044.445,1044.739,16,20696,1504
95,1055.556,1055.847,16,20696,1520
96,1066.667,1067.015,16,20696,1536
97,1077.778,1078.073,16,20696,1552
98,1088.889,1089.192,16,20696,1568
99,1100.000,1100.345,16,20696,1584
100,1111.176,1111.484,16,20696,1600
101,1122.223,1122.527,16,20696,1616
102,1133.333,1133.625,16,20696,1632
103,1144.445,1144.746,16,20696,1648
104,1155.556,1155.843,16,20696,1664
105,1166.667,1166.958,16,20696,1680
106,1177.778,1178.077,16,20696,1696
107,1188.889,1189.182,16,20696,1712
108,1200.000,1200.404,16,20696,1728
109,1211.111,1211.432,16,20696,1744
110,1222.223,1222.524,16,20696,1760
111,1233.334,1233.629,16,20696,1776
112,1244.445,1244.734,16,20696,1792
113,1255.556,1255.909,16,20696,1808
114,1266.667,1266.968,16,20696,1824
115,1277.778,1278.053,16,20696,1840
116,1288.889,1289.175,16,20696,1856
117,1300.000,1300.288,16,20696,1872
118,1311.111,1311.394,16,20696,1888
119,1322.223,1322.514,16,20696,1904
120,1333.334,1333.716,16,20696,1920
121,1344.511,1344.795,16,20696,1936
122,1355.556,1355.950,16,20696,1952
123,1366.667,1366.963,16,20696,1968
124,1377.778,1378.071,16,20696,1984
125,1388.889,1389.176,16,20696,2000
126,1400.000,1400.314,16,20696,2016
127,1411.111,1411.607,16,20696,2032
