# session 255795 k 2048 groups 64 chunks 2048 rate 10 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,5.327,64,82904,0
1,100.000,103.082,64,82904,64
2,200.000,204.318,64,82904,128
3,300.182,303.135,64,82904,192
4,400.000,401.815,64,82904,256
5,500.000,502.030,64,82904,320
6,600.128,601.895,64,82904,384
7,700.038,702.007,64,82904,448
8,800.000,801.915,64,82904,512
9,900.000,901.671,64,82904,576
10,1000.000,1001.209,64,82904,640
11,1100.000,1101.906,64,82904,704
12,1200.000,1201.643,64,82904,768
13,1300.000,1301.218,64,82904,832
14,1400.000,1401.923,64,82904,896
15,1500.048,1501.124,64,82904,960
16,1600.000,1601.125,64,82904,1024
17,1700.000,1701.073,64,82904,1088
18,1800.000,1801.540,64,82904,1152
19,1900.000,1901.380,64,82904,1216
20,2000.000,2001.057,64,82904,1280
21,2100.000,2101.099,64,82904,1344
22,2200.000,2201.182,64,82904,1408
23,2300.000,2301.889,64,82904,1472
24,2400.000,2401.427,64,82904,1536
25,2500.000,2501.814,64,82904,1600
26,2600.000,2601.214,64,82904,1664
27,2700.000,2701.141,64,82904,1728
28,2800.000,2802.334,64,82904,1792
29,2900.000,2901.744,64,82904,1856
30,3000.000,3001.404,64,82904,1920
31,3100.000,3101.492,64,82904,1984
