# session 464171 k 1024 groups 32 chunks 2048 rate 90 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,4.473,32,41432,0
1,11.111,13.216,32,41432,32
2,22.222,24.299,32,41432,64
3,33.334,34.781,32,41432,96
4,44.445,45.631,32,41432,128
5,55.556,56.842,32,41432,160
6,66.667,67.843,32,41432,192
7,77.778,78.702,32,41432,224
8,88.889,89.723,32,41432,256
9,100.000,101.081,32,41432,288
10,111.111,112.297,32,41432,320
11,122.226,123.947,32,41432,352
12,133.334,134.559,32,41432,384
13,144.445,145.165,32,41432,416
14,155.556,156.266,32,41432,448
15,166.667,167.819,32,41432,480
16,177.778,178.958,32,41432,512
17,188.889,189.615,32,41432,544
18,200.000,200.888,32,41432,576
19,211.111,212.083,32,41432,608
20,222.223,222.887,32,41432,640
21,233.334,234.735,32,41432,672
22,244.445,245.364,32,41432,704
23,255.556,256.138,32,41432,736
24,266.667,267.433,32,41432,768
25,277.778,278.712,32,41432,800
26,288.889,289.969,32,41432,832
27,300.000,300.906,32,41432,864
28,311.111,312.332,32,41432,896
29,322.223,322.955,32,41432,928
30,333.334,333.966,32,41432,960
31,344.445,345.403,32,41432,992
32,355.556,356.803,32,41432,1024
33,366.723,367.317,32,41432,1056
34,377.778,378.528,32,41432,1088
35,388.889,389.612,32,41432,1120
36,400.000,400.707,32,41432,1152
37,411.111,411.668,32,41432,1184
38,422.223,423.080,32,41432,1216
39,433.334,434.010,32,41432,1248
40,444.445,445.213,32,41432,1280
41,455.556,456.278,32,41432,1312
42,466.667,467.230,32,41432,1344
43,477.778,478.438,32,41432,1376
44,488.889,489.689,32,41432,1408
45,500.000,500.918,32,41432,1440
46,511.111,511.941,32,41432,1472
47,522.223,523.083,32,41432,1504
48,533.334,534.024,32,41432,1536
49,544.445,545.353,32,41432,1568
50,555.556,556.454,32,41432,1600
51,566.667,567.179,32,41432,1632
52,577.778,578.609,32,41432,1664
53,588.889,589.617,32,41432,1696
54,600.000,600.649,32,41432,1728
55,611.111,611.637,32,41432,1760
56,622.223,622.746,32,41432,1792
57,633.334,633.933,32,41432,1824
58,644.445,644.962,32,41432,1856
59,655.556,656.354,32,41432,1888
60,666.667,667.178,32,41432,1920
61,677.778,678.452,32,41432,1952
62,688.889,689.617,32,41432,1984
63,700.000,700.900,32,41432,2016
