# session 685365 k 1024 groups 32 chunks 2048 rate 75 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,3.629,32,41432,0
1,13.334,14.902,32,41432,32
2,26.667,29.399,32,41432,64
3,40.000,41.882,32,41432,96
4,53.334,54.529,32,41432,128
5,66.667,68.161,32,41432,160
6,80.000,81.648,32,41432,192
7,93.334,94.814,32,41432,224
8,106.667,107.527,32,41432,256
9,120.000,120.758,32,41432,288
10,133.334,134.334,32,41432,320
11,146.667,147.944,32,41432,352
12,160.000,161.086,32,41432,384
13,173.334,174.251,32,41432,416
14,186.667,187.393,32,41432,448
15,200.000,201.165,32,41432,480
16,213.334,214.150,32,41432,512
17,226.667,227.852,32,41432,544
18,240.000,240.821,32,41432,576
19,253.334,254.074,32,41432,608
20,266.667,267.306,32,41432,640
21,280.000,280.642,32,41432,672
22,293.334,294.054,32,41432,704
23,306.667,307.841,32,41432,736
24,320.000,320.687,32,41432,768
25,333.334,334.297,32,41432,800
26,346.667,347.673,32,41432,832
27,360.000,360.949,32,41432,864
28,373.334,374.221,32,41432,896
29,386.667,387.436,32,41432,928
30,400.000,400.811,32,41432,960
31,413.334,413.979,32,41432,992
32,426.667,427.641,32,41432,1024
33,440.004,440.654,32,41432,1056
34,453.334,454.102,32,41432,1088
35,466.667,467.378,32,41432,1120
36,480.000,480.997,32,41432,1152
37,493.334,494.431,32,41432,1184
38,506.667,507.447,32,41432,1216
39,520.000,520.948,32,41432,1248
40,533.334,534.243,32,41432,1280
41,546.675,547.233,32,41432,1312
42,560.000,560.902,32,41432,1344
43,573.334,574.025,32,41432,1376
44,586.667,587.563,32,41432,1408
45,600.000,600.652,32,41432,1440
46,613.334,613.934,32,41432,1472
47,626.667,627.623,32,41432,1504
48,640.000,640.807,32,41432,1536
49,653.334,653.839,32,41432,1568
50,666.667,667.252,32,41432,1600
51,680.000,680.721,32,41432,1632
52,693.342,694.080,32,41432,1664
53,706.667,707.417,32,41432,1696
54,720.000,720.523,32,41432,1728
55,733.334,733.930,32,41432,1760
56,746.667,747.385,32,41432,1792
57,760.000,760.899,32,41432,1824
58,773.334,774.273,32,41432,1856
59,786.667,787.554,32,41432,1888
60,800.000,800.518,32,41432,1920
61,813.334,813.894,32,41432,1952
62,826.667,827.229,32,41432,1984
63,840.000,840.523,32,41432,2016
