# session 845233 k 2048 groups 64 chunks 2048 rate 30 passes 1 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,5.808,64,82904,0
1,33.334,36.689,64,82904,64
2,66.667,70.694,64,82904,128
3,100.000,103.703,64,82904,192
4,133.334,135.537,64,82904,256
5,166.667,168.870,64,82904,320
6,200.000,202.475,64,82904,384
7,233.334,235.078,64,82904,448
8,266.667,268.856,64,82904,512
9,300.000,302.426,64,82904,576
10,333.334,335.260,64,82904,640
11,366.667,368.578,64,82904,704
12,400.000,401.810,64,82904,768
13,433.334,435.693,64,82904,832
14,466.667,468.099,64,82904,896
15,500.000,501.915,64,82904,960
16,533.334,534.528,64,82904,1024
17,566.667,568.238,64,82904,1088
18,600.000,601.121,64,82904,1152
19,633.334,634.384,64,82904,1216
20,666.667,667.995,64,82904,1280
21,700.000,701.931,64,82904,1344
22,733.334,734.925,64,82904,1408
23,766.667,768.050,64,82904,1472
24,800.000,801.970,64,82904,1536
25,833.334,834.410,64,82904,1600
26,866.667,867.760,64,82904,1664
27,900.000,901.040,64,82904,1728
28,933.334,934.494,64,82904,1792
29,966.667,968.447,64,82904,1856
30,1000.000,1001.080,64,82904,1920
31,1033.334,1034.690,64,82904,1984
