# session 872287 k 512 groups 16 chunks 256 rate 10 passes 1 maxbytes 4000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.003,1.848,6,20536,0
1,100.000,101.034,6,20536,16
2,200.000,200.644,6,20536,32
3,300.000,300.528,6,20536,48
4,400.000,400.676,6,20536,64
5,500.000,500.500,6,20536,80
6,600.000,600.615,6,20536,96
7,700.000,700.487,6,20536,112
8,800.000,800.438,6,20536,128
9,900.000,900.574,6,20536,144
10,1000.000,1000.803,6,20536,160
11,1100.000,1100.459,6,20536,176
12,1200.000,1200.383,6,20536,192
13,1300.000,1300.632,6,20536,208
14,1400.000,1400.423,6,20536,224
15,1500.000,1500.428,6,20536,240
