342 tasks, 14 workers
20/342 (5s, failed 0)
40/342 (8s, failed 0)
60/342 (10s, failed 0)
80/342 (14s, failed 0)
100/342 (16s, failed 0)
120/342 (37s, failed 0)
140/342 (39s, failed 0)
160/342 (59s, failed 0)
180/342 (74s, failed 0)
200/342 (90s, failed 0)
220/342 (93s, failed 0)
240/342 (109s, failed 0)
260/342 (127s, failed 0)
280/342 (131s, failed 0)
300/342 (148s, failed 0)
320/342 (150s, failed 0)
340/342 (168s, failed 0)
342/342 (168s, failed 0)
