
=== B=256 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
 prim   q8-c565a2-r256-n1280         18 |  0.599  0.673  0.761  0.814  0.860  0.886  0.887 | 0.779
 prim   t7-c332a1-r256-n1280         18 |  0.590  0.662  0.759  0.814  0.851  0.875  0.889 | 0.773
*pw     n250-e7.6.5-c565a2-r128-L96-32-10   18 |  0.606  0.689  0.777  0.833  0.875  0.912  0.927 | 0.797
 pw     n100-e7.6.5-c565a2-r128-L96-32-10   18 |  0.606  0.689  0.777  0.831  0.877  0.908  0.922 | 0.796
*wavl   L96-32-10                    18 |  0.569  0.657  0.766  0.832  0.875  0.907  0.923 | 0.784
 wavl   L96-24                       18 |  0.569  0.657  0.766  0.831  0.873  0.905  0.921 | 0.784
 wavl   L48-12                       18 |  0.552  0.630  0.743  0.815  0.872  0.909  0.924 | 0.770
*dctv   r128-s4                      18 |  0.504  0.629  0.734  0.826  0.874  0.875  0.877 | 0.759
 dctv   r128-s8                      18 |  0.548  0.643  0.755  0.810  0.821  0.817  0.814 | 0.747
 dctv   r128-s2                      18 |  0.458  0.585  0.699  0.804  0.876  0.914  0.916 | 0.743
 dctv   r256-s8                      18 |  0.405  0.504  0.714  0.796  0.855  0.882  0.886 | 0.715
 dctv   r256-s4                      18 |  0.392  0.458  0.643  0.788  0.857  0.908  0.923 | 0.696
 dctv   r256-s2                      18 |  0.384  0.412  0.574  0.755  0.834  0.904  0.929 | 0.663
*pal    g32-k3                       18 |  0.491  0.635  0.758  0.778  0.782  0.781  0.772 | 0.722
 pal    g64-k3                       18 |  0.447  0.561  0.717  0.761  0.853  0.869  0.868 | 0.722
 pal    g32-k5                       18 |  0.391  0.477  0.669  0.805  0.798  0.810  0.814 | 0.679
 pal    g64-k5                       18 |  0.391  0.436  0.581  0.748  0.791  0.897  0.911 | 0.659
 pal    g128-k3                      18 |  0.411  0.494  0.620  0.673  0.797  0.840  0.873 | 0.659
 pal    g128-k5                      18 |  0.391  0.393  0.512  0.658  0.708  0.857  0.865 | 0.600
*raw    g32-b3-lattice               18 |  0.437  0.491  0.628  0.687  0.778  0.789  0.788 | 0.650
 raw    g32-b2-lattice               18 |  0.427  0.521  0.600  0.708  0.724  0.722  0.725 | 0.632
 raw    g32-b2-rows2                 18 |  0.427  0.497  0.607  0.709  0.723  0.723  0.724 | 0.628
 raw    g16-b3-lattice               18 |  0.487  0.533  0.659  0.661  0.669  0.668  0.662 | 0.623
 raw    g64-b2-lattice               18 |  0.382  0.451  0.526  0.649  0.695  0.785  0.807 | 0.597
 raw    g16-b2-rows2                 18 |  0.503  0.549  0.620  0.618  0.622  0.621  0.612 | 0.596

=== B=32 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   e6.5.4-c332a2-r256-n200      18 |  0.537  0.600  0.688  0.752  0.803  0.847  0.856 | 0.718
 prim   e6.5.4-c332a2-r256-n640      18 |  0.537  0.600  0.688  0.751  0.801  0.843  0.865 | 0.717
 prim   t5-c332a0-r256-n640          18 |  0.529  0.581  0.670  0.730  0.780  0.813  0.825 | 0.696
 prim   e4.3.2-c222a0-r64-n250       18 |  0.543  0.601  0.661  0.702  0.727  0.733  0.736 | 0.671
*pw     n60-e6.5.4-c332a2-r256-L192-64-20   18 |  0.538  0.596  0.692  0.753  0.806  0.846  0.866 | 0.719
 pw     n150-e6.5.4-c332a2-r256-L192-64-20   18 |  0.538  0.596  0.691  0.752  0.807  0.840  0.862 | 0.718
*wavl   L192-64-20                   18 |  0.461  0.546  0.662  0.741  0.795  0.840  0.863 | 0.692
 wavl   L192-48                      18 |  0.461  0.546  0.662  0.742  0.794  0.839  0.862 | 0.692
 wavl   L96-24                       18 |  0.448  0.519  0.633  0.722  0.790  0.844  0.866 | 0.676
*dctv   r128-s8                      18 |  0.395  0.470  0.619  0.695  0.779  0.815  0.820 | 0.647
 dctv   r128-s4                      18 |  0.383  0.428  0.560  0.662  0.755  0.840  0.869 | 0.622
 dctv   r128-s2                      18 |  0.385  0.397  0.514  0.635  0.708  0.814  0.860 | 0.591
 dctv   r256-s8                      18 |  0.387  0.384  0.429  0.547  0.699  0.789  0.828 | 0.550
 dctv   r256-s4                      18 |  0.388  0.385  0.397  0.470  0.597  0.761  0.812 | 0.509
 dctv   r256-s2                      18 |  0.390  0.388  0.387  0.411  0.497  0.671  0.759 | 0.467
*pal    g32-k3                       18 |  0.361  0.472  0.628  0.700  0.773  0.771  0.781 | 0.638
 pal    g64-k3                       18 |  0.349  0.425  0.549  0.606  0.724  0.770  0.837 | 0.591
 pal    g32-k5                       18 |  0.391  0.391  0.469  0.650  0.741  0.812  0.814 | 0.587
 pal    g128-k3                      18 |  0.383  0.392  0.490  0.539  0.643  0.706  0.794 | 0.540
 pal    g64-k5                       18 |  0.391  0.391  0.427  0.543  0.614  0.769  0.786 | 0.532
 pal    g128-k5                      18 |  0.391  0.391  0.378  0.487  0.542  0.678  0.700 | 0.484
*raw    g16-b3-lattice               18 |  0.408  0.493  0.551  0.658  0.667  0.667  0.669 | 0.587
 raw    g16-b2-rows2                 18 |  0.447  0.500  0.585  0.620  0.622  0.622  0.618 | 0.575
 raw    g32-b3-lattice               18 |  0.363  0.432  0.492  0.615  0.660  0.776  0.788 | 0.571
 raw    g32-b2-lattice               18 |  0.373  0.422  0.505  0.579  0.663  0.721  0.723 | 0.557
 raw    g32-b2-rows2                 18 |  0.346  0.400  0.498  0.593  0.648  0.722  0.725 | 0.549
 raw    g64-b2-lattice               18 |  0.368  0.373  0.418  0.499  0.565  0.674  0.703 | 0.492

wrote results/mselected.json 24
